   Point	                                    	nearest_coord	                            new_distance	    new_point	                                timestamp	    uncertainty
636	POINT (14.6085442950407 59.1238951299281)	9.0	POINT (14.6085442950407 59.1238951299281)	2.213720039693932	POINT (59.12391500222864 14.6085442950407)	1610726455.0	2.213720039693932
637	POINT (14.60854429504077 59.12389512992817)	9.0	POINT (14.60854429504077 59.12389512992817)	2.213720039693932	POINT (59.1239150022287 14.60854429504077)	1610726456.0	2.213720039693932
638	POINT (14.60857487244257 59.12387711586837)	9.0	POINT (14.60857487244257 59.12387711586837)	3.721440959711985	POINT (59.12391052279969 14.60857487244257)	1610726460.0	3.721440959711985
639	POINT (14.6085603175141 59.12389098495488)	9.0	POINT (14.6085603175141 59.12389098495488)	2.0	POINT (59.12390893871616 14.6085603175141)	1610726461.0	2.0
640	POINT (14.60855672452971 59.12389023308774)	9.0	POINT (14.60855672452971 59.12389023308774)	2.0	POINT (59.12390818684902 14.60855672452971)	1610726462.0	2.0
641	POINT (14.60855176623169 59.12389699857776)	9.0	POINT (14.60855176623169 59.12389699857776)	2.0	POINT (59.12391495233901 14.60855176623169)	1610726465.0	2.0
642	POINT (14.60856919946701 59.1238748950583)	9.0	POINT (14.60856919946701 59.1238748950583)	2.213720039693932	POINT (59.12389476735891 14.60856919946701)	1610726471.0	2.213720039693932
643	POINT (14.60854709404969 59.12388095962226)	9.0	POINT (14.60854709404969 59.12388095962226)	2.0	POINT (59.12389891338356 14.60854709404969)	1610726472.0	2.0
644	POINT (14.60854521883245 59.12389480417183)	9.0	POINT (14.60854521883245 59.12389480417183)	2.0	POINT (59.12391275793308 14.60854521883245)	1610726473.0	2.0
645	POINT (14.60854521883238 59.12389480417175)	9.0	POINT (14.60854521883238 59.12389480417175)	2.0	POINT (59.12391275793301 14.60854521883238)	1610726474.0	2.0
646	POINT (14.60854972966816 59.1238973221017)	9.0	POINT (14.60854972966816 59.1238973221017)	2.213720039693932	POINT (59.12391719440224 14.60854972966816)	1610726501.0	2.213720039693932
648	POINT (14.60854834799474 59.12389544355887)	9.0	POINT (14.60854834799474 59.12389544355887)	2.213720039693932	POINT (59.1239153158594 14.60854834799474)	1610726503.0	2.213720039693932
650	POINT (14.60854834799474 59.12389544355887)	9.0	POINT (14.60854834799474 59.12389544355887)	2.213720039693932	POINT (59.1239153158594 14.60854834799474)	1610726505.0	2.213720039693932
651	POINT (14.60854729992856 59.12389643979623)	9.0	POINT (14.60854729992856 59.12389643979623)	2.213720039693932	POINT (59.12391631209677 14.60854729992856)	1610726506.0	2.213720039693932
652	POINT (14.60854729992869 59.12389643979625)	9.0	POINT (14.60854729992869 59.12389643979625)	2.213720039693932	POINT (59.12391631209679 14.60854729992869)	1610726507.0	2.213720039693932
653	POINT (14.60854731679209 59.12387652519323)	9.0	POINT (14.60854731679209 59.12387652519323)	2.213720039693932	POINT (59.12389639749381 14.60854731679209)	1610726508.0	2.213720039693932
654	POINT (14.60854731679209 59.12387652519323)	9.0	POINT (14.60854731679209 59.12387652519323)	2.213720039693932	POINT (59.12389639749381 14.60854731679209)	1610726509.0	2.213720039693932
655	POINT (14.60854701965487 59.12387645899314)	9.0	POINT (14.60854701965487 59.12387645899314)	2.7869084125686827	POINT (59.12390147673734 14.60854701965487)	1610726510.0	2.7869084125686827
656	POINT (14.60854702068259 59.12387645778446)	9.0	POINT (14.60854702068259 59.12387645778446)	2.7869084125686827	POINT (59.12390147552867 14.60854702068259)	1610726511.0	2.7869084125686827
657	POINT (14.60854542324205 59.12389602768036)	9.0	POINT (14.60854542324205 59.12389602768036)	2.7869084125686827	POINT (59.1239210454245 14.60854542324205)	1610726512.0	2.7869084125686827
658	POINT (14.60854542324207 59.1238960276804)	9.0	POINT (14.60854542324207 59.1238960276804)	2.7869084125686827	POINT (59.12392104542453 14.60854542324207)	1610726513.0	2.7869084125686827
659	POINT (14.60854588057471 59.12389610444007)	9.0	POINT (14.60854588057471 59.12389610444007)	3.1269626693514514	POINT (59.12392417481065 14.60854588057471)	1610726514.0	3.1269626693514514
660	POINT (14.60854627887537 59.12388485523384)	9.0	POINT (14.60854627887537 59.12388485523384)	2.053831621572335	POINT (59.12390329223517 14.60854627887537)	1610726520.0	2.053831621572335
661	POINT (14.60854573441748 59.12389113037261)	9.0	POINT (14.60854573441748 59.12389113037261)	2.1182254460354546	POINT (59.1239101454296 14.60854573441748)	1610726521.0	2.1182254460354546
662	POINT (14.60854616717186 59.1238911347849)	9.0	POINT (14.60854616717186 59.1238911347849)	2.7869084125686827	POINT (59.12391615252905 14.60854616717186)	1610726522.0	2.7869084125686827
663	POINT (14.60854616717171 59.12389113478504)	9.0	POINT (14.60854616717171 59.12389113478504)	2.7869084125686827	POINT (59.12391615252919 14.60854616717171)	1610726525.0	2.7869084125686827
665	POINT (14.60854509114296 59.12389876530636)	9.0	POINT (14.60854509114296 59.12389876530636)	2.0	POINT (59.12391671906761 14.60854509114296)	1610726532.0	2.0
666	POINT (14.60854556556375 59.12389885692415)	9.0	POINT (14.60854556556375 59.12389885692415)	2.0158873366453003	POINT (59.12391695330412 14.60854556556375)	1610726533.0	2.0158873366453003
668	POINT (14.60854556702176 59.12389885007421)	9.0	POINT (14.60854556702176 59.12389885007421)	2.7869084125686827	POINT (59.12392386781833 14.60854556702176)	1610726537.0	2.7869084125686827
669	POINT (14.60856070245731 59.12387415895289)	9.0	POINT (14.60856070245731 59.12387415895289)	2.483834737194666	POINT (59.1238964560409 14.60856070245731)	1610726262.0	2.483834737194666
671	POINT (14.60856070245763 59.12387415895265)	9.0	POINT (14.60856070245763 59.12387415895265)	2.483834737194666	POINT (59.12389645604065 14.60856070245763)	1610726263.0	2.483834737194666
679	POINT (14.60854747324903 59.12389602525403)	9.0	POINT (14.60854747324903 59.12389602525403)	2.213720039693932	POINT (59.12391589755457 14.60854747324903)	1610726550.0	2.213720039693932
681	POINT (14.60854561109532 59.12389394850212)	9.0	POINT (14.60854561109532 59.12389394850212)	2.0	POINT (59.12391190226339 14.60854561109532)	1610726553.0	2.0
684	POINT (14.6085328808183 59.12388388464704)	9.0	POINT (14.6085328808183 59.12388388464704)	2.5210901041454328	POINT (59.12390651617199 14.6085328808183)	1610726480.0	2.5210901041454328
685	POINT (14.60854747117336 59.12389603968096)	9.0	POINT (14.60854747117336 59.12389603968096)	2.0	POINT (59.12391399344222 14.60854747117336)	1610726543.0	2.0
686	POINT (14.60854747117354 59.12389603968079)	9.0	POINT (14.60854747117354 59.12389603968079)	2.0	POINT (59.12391399344205 14.60854747117354)	1610726544.0	2.0
687	POINT (14.60854747324927 59.12389602525388)	9.0	POINT (14.60854747324927 59.12389602525388)	2.213720039693932	POINT (59.12391589755441 14.60854747324927)	1610726545.0	2.213720039693932
689	POINT (14.60854729723975 59.12389646276685)	9.0	POINT (14.60854729723975 59.12389646276685)	2.0	POINT (59.12391441652811 14.60854729723975)	1610726483.0	2.0
690	POINT (14.60854729979377 59.12389644332431)	9.0	POINT (14.60854729979377 59.12389644332431)	2.213720039693932	POINT (59.12391631562484 14.60854729979377)	1610726485.0	2.213720039693932
691	POINT (14.6085498007538 59.12389782434563)	9.0	POINT (14.6085498007538 59.12389782434563)	2.213720039693932	POINT (59.12391769664616 14.6085498007538)	1610726495.0	2.213720039693932
692	POINT (14.60854499034349 59.12389604717968)	9.0	POINT (14.60854499034349 59.12389604717968)	2.0	POINT (59.12391400094094 14.60854499034349)	1610726542.0	2.0
